arc_length_s   gamma_x(s)    gamma_y(s)   gamma_z(s)
5.720e-01      -1.218e-01   -2.742e-01    6.127e-01
5.740e-01      -1.177e-01   -2.760e-01    6.147e-01
5.760e-01      -1.135e-01   -2.777e-01    6.167e-01
5.780e-01      -1.093e-01   -2.794e-01    6.187e-01
5.800e-01      -1.051e-01   -2.810e-01    6.207e-01
5.820e-01      -1.009e-01   -2.825e-01    6.227e-01
5.840e-01      -9.660e-02   -2.840e-01    6.247e-01
5.860e-01      -9.240e-02   -2.854e-01    6.267e-01
5.880e-01      -8.810e-02   -2.868e-01    6.287e-01
5.900e-01      -8.380e-02   -2.881e-01    6.307e-01
5.920e-01      -7.940e-02   -2.893e-01    6.327e-01
5.940e-01      -7.510e-02   -2.905e-01    6.347e-01
5.960e-01      -7.070e-02   -2.915e-01    6.367e-01
5.980e-01      -6.630e-02   -2.926e-01    6.387e-01
6.000e-01      -6.190e-02   -2.935e-01    6.407e-01
6.020e-01      -5.750e-02   -2.944e-01    6.427e-01
6.040e-01      -5.310e-02   -2.953e-01    6.447e-01
6.060e-01      -4.860e-02   -2.960e-01    6.467e-01
6.080e-01      -4.420e-02   -2.967e-01    6.487e-01
6.100e-01      -3.970e-02   -2.974e-01    6.507e-01
6.120e-01      -3.530e-02   -2.979e-01    6.527e-01
6.140e-01      -3.080e-02   -2.984e-01    6.547e-01
6.160e-01      -2.630e-02   -2.988e-01    6.567e-01
6.180e-01      -2.180e-02   -2.992e-01    6.587e-01
6.200e-01      -1.730e-02   -2.995e-01    6.607e-01
6.220e-01      -1.280e-02   -2.997e-01    6.627e-01
6.240e-01      -8.300e-03   -2.999e-01    6.647e-01
6.260e-01      -3.800e-03   -3.000e-01    6.667e-01
6.280e-01      7.000e-04    -3.000e-01    6.680e-01
6.300e-01      5.200e-03    -3.000e-01    6.700e-01
6.320e-01      9.700e-03    -2.998e-01    6.720e-01
6.340e-01      1.420e-02    -2.997e-01    6.740e-01
6.360e-01      1.870e-02    -2.994e-01    6.760e-01
6.380e-01      2.320e-02    -2.991e-01    6.780e-01
6.400e-01      2.770e-02    -2.987e-01    6.800e-01
6.420e-01      3.220e-02    -2.983e-01    6.820e-01
6.440e-01      3.660e-02    -2.978e-01    6.840e-01
6.460e-01      4.110e-02    -2.972e-01    6.860e-01
6.480e-01      4.560e-02    -2.965e-01    6.880e-01
6.500e-01      5.000e-02    -2.958e-01    6.900e-01
6.520e-01      5.440e-02    -2.950e-01    6.920e-01
6.540e-01      5.890e-02    -2.942e-01    6.940e-01
6.560e-01      6.330e-02    -2.932e-01    6.960e-01
6.580e-01      6.770e-02    -2.923e-01    6.980e-01
6.600e-01      7.210e-02    -2.912e-01    7.000e-01
6.620e-01      7.640e-02    -2.901e-01    7.020e-01
